ilk,name,symbol,class,dec,gem,pip,join,xlip,blockNumber,transactionIndex,transactionHash,timestamp,from
0x4554482d41000000000000000000000000000000000000000000000000000000,Wrapped Ether,WETH,1e-18,1.8e-17,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x81FE72B5A8d1A857d176C3E7d5Bd2679A9B85763,0x2F0b23f53734252Bda2277357e97e1517d6B042A,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,12251876,100,0xd333eda4de15ef0c0ea788d4b7640f07d828630844333e68cff22adb70bcde83,1618586887,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x4554482d42000000000000000000000000000000000000000000000000000000,Wrapped Ether,WETH,1e-18,1.8e-17,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x81FE72B5A8d1A857d176C3E7d5Bd2679A9B85763,0x08638eF1A205bE6762A8b935F5da9b700Cf7322c,0x71eb894330e8a4b96b8d6056962e7F116F50e06F,12251879,136,0x1126443dd7c04784a9603c335b96f8fb2401f8df70e5eb881f7fe4009e803997,1618586896,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x4554482d43000000000000000000000000000000000000000000000000000000,Wrapped Ether,WETH,1e-18,1.8e-17,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x81FE72B5A8d1A857d176C3E7d5Bd2679A9B85763,0xF04a5cC80B1E94C69B48f5ee68a08CD2F09A7c3E,0xc2b12567523e3f3CBd9931492b91fe65b240bc47,12251882,122,0x02570d8411cce30952dadc174725d39742902d1b2f3046e5d2856b31959a9278,1618586922,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x4241542d41000000000000000000000000000000000000000000000000000000,Basic Attention Token,BAT,1e-18,1.8e-17,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,0xB4eb54AF9Cc7882DF0121d26c5b97E802915ABe6,0x3D0B1912B66114d4096F48A8CEe3A56C231772cA,0x3D22e6f643e2F4c563fD9db22b229Cbb0Cd570fb,12251885,21,0xe98cbd0013f29308c089ad385c42f35f761368cdd74a141a3526d650366a073c,1618586947,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x555344432d410000000000000000000000000000000000000000000000000000,USD Coin,USDC,1e-18,6e-18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x77b68899b99b686F415d074278a9a16b336085A0,0xA191e578a6736167326d05c119CE0c90849E84B7,0x046b1A5718da6A226D912cFd306BA19980772908,12251889,171,0xf4cec13997010dfbee030ae4c4ce235e426d997bdb8c5bf7f0af8c0212cbeefd,1618587015,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x555344432d420000000000000000000000000000000000000000000000000000,USD Coin,USDC,1e-18,6e-18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x77b68899b99b686F415d074278a9a16b336085A0,0x2600004fd1585f7270756DDc88aD9cfA10dD0428,0x5590F23358Fe17361d7E4E4f91219145D8cCfCb3,12251890,186,0x3e927b29515beabfce215ffbedfe1cdb2b72756ecd8be431038bfd6d13fdab04,1618587023,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x574254432d410000000000000000000000000000000000000000000000000000,Wrapped BTC,WBTC,1e-18,8e-18,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xf185d0682d50819263941e5f4EacC763CC5C6C42,0xBF72Da2Bd84c5170618Fbe5914B0ECA9638d5eb5,0x0227b54AdbFAEec5f1eD1dFa11f54dcff9076e2C,12251893,8,0xc3d035efe1439b131a56219627da35d498f13097942243b75f0e97467278de2a,1618587054,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x545553442d410000000000000000000000000000000000000000000000000000,TrueUSD,TUSD,1e-18,1.8e-17,0x0000000000085d4780B73119b644AE5ecd22b376,0xeE13831ca96d191B688A670D47173694ba98f1e5,0x4454aF7C8bb9463203b66C816220D41ED7837f44,0x0F6f88f8A4b918584E3539182793a0C276097f44,12251896,47,0x0c53afa0fb5cd35ebe3b50075b720fb628745200655fbf4efd0b55ff99727757,1618587092,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x5a52582d41000000000000000000000000000000000000000000000000000000,0x Protocol Token,ZRX,1e-18,1.8e-17,0xE41d2489571d322189246DaFA5ebDe1F4699F498,0x7382c066801E7Acb2299aC8562847B9883f5CD3c,0xc7e8Cd72BDEe38865b4F5615956eF47ce1a7e5D0,0xdc90d461E148552387f3aB3EBEE0Bdc58Aa16375,12251903,191,0xae31630fdd9cbe2cfa237a344dbcd6ea1313b6d59be7d531ea8cd2ab20cb3a6e,1618587165,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x4b4e432d41000000000000000000000000000000000000000000000000000000,Kyber Network Crystal,KNC,1e-18,1.8e-17,0xdd974D5C2e2928deA5F71b9825b8b646686BD200,0xf36B79BD4C0904A5F350F1e4f776B81208c13069,0x475F1a89C1ED844A08E8f6C50A00228b5E59E4A9,0x006Aa3eB5E666D8E006aa647D4afAB212555Ddea,12251906,59,0xf53153836a4ee0fe3c51c7ca1ae40c924e6f138543f4fe95207643030b51cb7e,1618587184,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x4d414e412d410000000000000000000000000000000000000000000000000000,Decentraland MANA,MANA,1e-18,1.8e-17,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,0x8067259EA630601f319FccE477977E55C6078C13,0xA6EA3b9C04b8a38Ff5e224E7c3D6937ca44C0ef9,0xF5C8176E1eB0915359E46DEd16E52C071Bb435c0,12251911,1,0x86745f9970d33eac9ff0a2e9c7bec3133689d6fd2b6878a86f9ab7ccefe0c801,1618587229,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x555344542d410000000000000000000000000000000000000000000000000000,Tether USD,USDT,1e-18,6e-18,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x7a5918670B0C390aD25f7beE908c1ACc2d314A3C,0x0Ac6A1D74E84C2dF9063bDDc31699FF2a2BB22A2,0xFC9D6Dd08BEE324A5A8B557d2854B9c36c2AeC5d,12251913,22,0xe1834ed2592eac478dba8a3a0f1e0fbf71cc77fb5a2cf5c0880b7983653b7948,1618587260,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x5041585553442d41000000000000000000000000000000000000000000000000,Paxos Standard,PAX,1e-18,1.8e-17,0x8E870D67F660D95d5be530380D0eC0bd388289E1,0x043B963E1B2214eC90046167Ea29C2c8bDD7c0eC,0x7e62B7E279DFC78DEB656E34D6a435cC08a44666,0xBCb396Cd139D1116BD89562B49b9D1d6c25378B0,12251918,134,0xc265cb95b841c4ec5ce1de3263e0f12f9c92660a077e2298d25b5da7dea49d32,1618587277,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x434f4d502d410000000000000000000000000000000000000000000000000000,Compound,COMP,1e-18,1.8e-17,0xc00e94Cb662C3520282E6f5717214004A7f26888,0xBED0879953E633135a48a157718Aa791AC0108E4,0xBEa7cDfB4b49EC154Ae1c0D731E4DC773A3265aA,0x2Bb690931407DCA7ecE84753EA931ffd304f0F38,12251920,130,0x02180e935eb32783f4739dfa30e0b50b22b2c1a8529e291f8688ea59d67cdc0a,1618587297,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x4c52432d41000000000000000000000000000000000000000000000000000000,LoopringCoin V2,LRC,1e-18,1.8e-17,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x9eb923339c24c40Bef2f4AF4961742AA7C23EF3a,0x6C186404A7A238D3d6027C0299D1822c1cf5d8f1,0x81C5CDf4817DBf75C7F08B8A1cdaB05c9B3f70F7,12251922,215,0xcf485b96e81fc97d82687b9da297fd14d6a806f9e2ad5c5658f0e59d820c550f,1618587333,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x4c494e4b2d410000000000000000000000000000000000000000000000000000,ChainLink Token,LINK,1e-18,1.8e-17,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x9B0C694C6939b5EA9584e9b61C7815E8d97D9cC7,0xdFccAf8fDbD2F4805C174f856a317765B49E4a50,0x832Dd5f17B30078a5E46Fdb8130A68cBc4a74dC0,12251923,205,0x5110a2b8cf6d0090b8ba5e0e14eedaa31958c5d59399b37ea8c10f8689013608,1618587355,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x42414c2d41000000000000000000000000000000000000000000000000000000,Balancer,BAL,1e-18,1.8e-17,0xba100000625a3754423978a60c9317c58a424e3D,0x3ff860c0F28D69F392543A16A397D0dAe85D16dE,0x4a03Aa7fb3973d8f0221B466EefB53D0aC195f55,0x6AAc067bb903E633A422dE7BE9355E62B3CE0378,12251925,44,0xf05647dcba38088db7e6473417e0977101380f46befb0b47ef82253aa07fb5d9,1618587415,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x5946492d41000000000000000000000000000000000000000000000000000000,yearn.finance,YFI,1e-18,1.8e-17,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x5F122465bCf86F45922036970Be6DD7F58820214,0x3ff33d9162aD47660083D7DC4bC02Fb231c81677,0x9daCc11dcD0aa13386D295eAeeBBd38130897E6f,12251926,217,0x30f5a8baa9eb9e2aafcc15cc1e1c92b9c1dc300cc6d1894f27491595c3dc2dfb,1618587424,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x475553442d410000000000000000000000000000000000000000000000000000,Gemini dollar,GUSD,1e-18,2e-18,0x056Fd409E1d7A124BD7017459dFEa2F387b6d5Cd,0xf45Ae69CcA1b9B043dAE2C83A5B65Bc605BEc5F5,0xe29A14bcDeA40d83675aa43B72dF07f649738C8b,0xa47D68b9dB0A0361284fA04BA40623fcBd1a263E,12251930,41,0x08641a50a2e4ced68a101ed202fd9ecd0b82cbd0a69ef98a0300d82e33dea26a,1618587538,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x554e492d41000000000000000000000000000000000000000000000000000000,Uniswap,UNI,1e-18,1.8e-17,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0xf363c7e351C96b910b92b45d34190650df4aE8e7,0x3BC3A58b4FC1CbE7e98bB4aB7c99535e8bA9b8F1,0x3713F83Ee6D138Ce191294C131148176015bC29a,12251932,170,0x6489532be7a062b9c7aa09155168916a805482cb9429478a5ab0919abfe76636,1618587597,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x52454e4254432d41000000000000000000000000000000000000000000000000,renBTC,renBTC,1e-18,8e-18,0xEB4C2781e4ebA804CE9a9803C67d0893436bB27D,0xf185d0682d50819263941e5f4EacC763CC5C6C42,0xFD5608515A47C37afbA68960c1916b79af9491D0,0x834719BEa8da68c46484E001143bDDe29370a6A3,12251934,235,0x59a087ba86a8e50cf4e13fef01974d43b3c3ee913751e68053d53640b97ed3bf,1618587624,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x414156452d410000000000000000000000000000000000000000000000000000,Aave Token,AAVE,1e-18,1.8e-17,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x8Df8f06DC2dE0434db40dcBb32a82A104218754c,0x24e459F61cEAa7b1cE70Dbaea938940A7c5aD46e,0x8723b74F598DE2ea49747de5896f9034CC09349e,12251936,21,0xfcb7dafab2769e117770f8e6b998278d57f132cee4111f3c9f9d1cf88b0cbba3,1618587657,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x554e4956324441494554482d4100000000000000000000000000000000000000,Uniswap V2,UNI-V2,1e-18,1.8e-17,0xA478c2975Ab1Ea89e8196811F51A7B7Ade33eB11,0xFc8137E1a45BAF0030563EC4F0F851bd36a85b7D,0x2502F65D77cA13f183850b5f9272270454094A08,0x9F6981bA5c77211A34B76c6385c0f6FA10414035,12251937,239,0xd2cb1636fdef1c769e05df50592fbbe3f5470a0496bb230dcc0b9d8550fbbe5a,1618587664,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x554e495632574254434554482d41000000000000000000000000000000000000,Uniswap V2,UNI-V2,1e-18,1.8e-17,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,0x8400D2EDb8B97f780356Ef602b1BdBc082c2aD07,0xDc26C9b7a8fe4F5dF648E314eC3E6Dc3694e6Dd2,0xb15afaB996904170f87a64Fe42db0b64a6F75d24,12251939,69,0x00c35ea4b096c0e9c6f23646d75f02a485df4cee27ec41dc56809f9e8808228f,1618587708,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x554e495632555344434554482d41000000000000000000000000000000000000,Uniswap V2,UNI-V2,1e-18,1.8e-17,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,0xf751f24DD9cfAd885984D1bA68860F558D21E52A,0x03Ae53B33FeeAc1222C3f372f32D37Ba95f0F099,0x93AE03815BAF1F19d7F18D9116E4b637cc32A131,12251940,291,0xef42cc072a0fe0cba6b89a6b59dc6a63652d8f8a5fa64d8524e3ceda0c86a863,1618587719,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x554e495632444149555344432d41000000000000000000000000000000000000,Uniswap V2,UNI-V2,1e-18,1.8e-17,0xAE461cA67B15dc8dc81CE7615e0320dA1A9aB8D5,0x25D03C2C928ADE19ff9f4FFECc07d991d0df054B,0xA81598667AC561986b70ae11bBE2dd5348ed4327,0x9B3310708af333f6F379FA42a5d09CBAA10ab309,12251945,10,0x091340d475391168ac115a2fe6a6631699891f3f3f79481b785b375876c7ac57,1618587752,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
0x554e495632455448555344542d41000000000000000000000000000000000000,Uniswap V2,UNI-V2,1e-18,1.8e-17,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,0x5f6dD5B421B8d92c59dC6D907C9271b1DBFE3016,0x4aAD139a88D2dd5e7410b408593208523a3a891d,0x2aC4C9b49051275AcB4C43Ec973082388D015D48,12251946,172,0x4d47411035aa170053a305b5794a8d1818b14a73129721ff434478376d0da62e,1618587754,0xDA0FaB0700A4389F6E6679aBAb1692B4601ce9bf
